Lemma,ID,Eng Gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Example Sentence,Translation,Reference,Topic(s),,,
квитанция,7245,receipt,N.Fem.Inan,B2,LM,1,квитанцию,Acc.Sing,Номер счёта уже вписан в квитанцию.,The account number is already written on the receipt.,_,"магазин, учёба/работа",,,
квитанция,7246,receipt,N.Fem.Inan,B2,LM,2,квитанции,Acc.Plur,Очень удобно оплачивать квитанции онлайн.,It's very easy to pay invoices online.,_,"магазин, учёба/работа",,,
кекс,7247,cupcake,N.Masc.Inan,B2,LM,1,кекса,Gen.Sing,Женя съела кусок кекса.,Zhenya ate a piece of the cupcake.,_,еда,,,
кепка,7248,cap,N.Fem.Inan,B2,LM,1,кепка,Nom.Sing,На земле лежала чья-то бейсбольная кепка.,Someone's baseball cape was lying on the ground.,_,"магазин, одежда",,,
кепка,7249,cap,N.Fem.Inan,B2,LM,2,кепку,Acc.Sing,"Надень кепку, на улице солнце!","Put you cap on, the sun is shining outside!",_,"магазин, одежда",,,
кепка,7250,cap,N.Fem.Inan,B2,LM,3,кепке,Loc.Sing,За углом показался человек в чёрной кепке.,A man in black cap appeared around the corner.,_,"магазин, одежда",,,
керамика,7251,ceramics,N.Fem.Inan,B2,LM,1,керамики,Gen.Sing,В этом магазине продают красивые изделия из керамики.,This store sells beautiful pottery.,_,"еда, жильё, магазин",,,
керамика,7252,ceramics,N.Fem.Inan,B2,LM,2,керамика,Nom.Sing,Качественная керамика безопаснее любой другой посуды.,High-quality ceramics are safer than any other dishes.,_,"еда, жильё, магазин",,,
керамика,7253,ceramics,N.Fem.Inan,B2,LM,3,керамикой,Ins.Sing,"Ирина преподаёт в школе, а в свободное время занимается керамикой.",Irina teaches at school and studies ceramics in her free time.,_,"еда, жильё, магазин",,,
меняться,7254,change,V,B2,LM,1,меняется,Imperf.Sing.3,Осенью природа меняется на глазах.,"In autumn, nature changes right before your eyes.",_,"описание, время",,,
меняться,7255,change,V,B2,LM,2,меняются,Imperf.Plur.3,Предпочтения людей всё время меняются.,People’s preferences change all the time.,_,"описание, время",,,
меняться,7256,change,V,B2,LM,3,меняться,Imperf.Inf,Человеку свойственно меняться.,It's human nature to change.,_,"описание, время",,,
поддерживать,7257,carry,V,B2,LM,1,поддерживает,Imperf.Sing.3,Правительство поддерживает развитие малого бизнеса.,The government supports small business development.,_,"общение, описание",,,
поддерживать,7258,carry,V,B2,LM,2,поддерживать,Imperf.Inf,Необходимо поддерживать безопасность на дорогах.,It's necessary to maintain road safety.,_,"общение, описание",,,
поддерживать,7259,carry,V,B2,LM,3,поддерживаю,Imperf.Sing.1,Я поддерживаю твоё решение.,I support your decision.,_,"общение, описание",,,
киприот,7260,Cypriot,N.Masc.Anim,B2,LM,1,киприотов,Gen.Plur,Выставка вызвала интерес у киприотов.,The Cypriots were interested in the exhibition.,_,"люди, путешествие",,,
командовать,7261,command,V,B2,LM,1,командовал,Imperf.Masc.Sing.Past,В 1941 году под Москвой Константин Рокоссовский командовал армией.,Konstantin Rokossovsky commanded the army near Moscow in 1941.,_,"описание, общение, политика",,,
командовать,7262,command,A,B2,LM,2,командующий,Imperf.PresentActiveParticiple.Nom.Masc.Sing,Командующий армией приказал перейти в наступление.,The army commander ordered an offensive.,_,"описание, общение, политика",,,
командовать,7263,command,V,B2,LM,3,командует,Imperf.Sing.3,Почему он всё время вами командует?,Why does he always order you around?,_,"описание, общение, политика",,,
кипяченый,7264,boiled,A,B2,LM,1,кипячёной,Ins.Fem.Sing,Саша пошёл на кухню за кипячёной водой.,Sasha went to the kitchen to get some boiling water.,_,"еда, описание",,,
кирпич,7265,brick,N.Masc.Inan,B2,LM,1,кирпичей,Gen.Plur,Дети строили домик из старых кирпичей.,The children built a little house made of old bricks.,_,жильё,,,
кирпич,7266,brick,N.Masc.Inan,B2,LM,2,кирпича,Gen.Sing,Я живу в доме из красного кирпича.,I live in a house made of red bricks.,_,жильё,,,
кирпич,7267,brick,N.Masc.Inan,B2,LM,3,кирпич,Acc.Sing,Я увидел на дороге красный кирпич.,I saw a red brick on the road.,_,жильё,,,
кисель,7268,jelly,N.Masc.Inan,B2,LM,1,киселём,Ins.Sing,Снимите кастрюлю с киселём с плиты.,Remove the pan with jelly from the stove.,_,еда,,,
кисель,7269,jelly,N.Masc.Inan,B2,LM,2,киселя,Gen.Sing,Недавно я попробовал пирог из киселя.,I tasted a jelly cake recently.,_,еда,,,
кисель,7270,jelly,N.Masc.Inan,B2,LM,3,кисель,Nom.Sing,Кисель был разлит по кружкам.,The jelly was poured into cups.,_,еда,,,
кислород,7271,oxygen,N.Masc.Inan,B2,LM,1,кислорода,Gen.Sing,Недостаток кислорода приводит к старению организма.,Lack of oxygen causes the body to age.,_,"погода, животные/растения, здоровье",,,
кислород,7272,oxygen,N.Masc.Inan,B2,LM,2,кислородом,Ins.Sing,Недостаточное насыщение крови кислородом может возникать по разным причинам.,Lack of oxygen in the blood can occur for various reasons.,_,"погода, животные/растения, здоровье",,,
кислород,7273,oxygen,N.Masc.Inan,B2,LM,3,кислород,Nom.Sing,Кислород необходим всем живым существам.,Oxygen is necessary for all living beings.,_,"погода, животные/растения, здоровье",,,
классовый,7274,class,A,B2,LM,1,классовой,Gen.Fem.Sing,Источником классовой борьбы является противоречие интересов классов.,The source of class struggle is the contradiction between the interests of the classes.,_,"описание, политика",,,
классовый,7275,class,A,B2,LM,2,классовое,Nom.Neut.Sing,Классовое расслоение стало заметным.,Class divisions have become evident.,_,"описание, политика",,,
классовый,7276,class,A,B2,LM,3,классовым,Ins.Neut.Sing,Современные общества расколоты классовым неравенством.,Modern societies are divided due to class inequality.,_,"описание, политика",,,
комментировать,7277,comment,V,B2,LM,1,комментировать,Imperf.Inf,Он отказался комментировать детали произошедшего.,He declined to comment on the details of what had happened.,_,"общение, учёба/работа",,,
комментировать,7278,comment,V,B2,LM,2,комментирует,Imperf.Sing.3,Адвокат не комментирует ситуацию.,The lawyer won't comment on the situation.,_,"общение, учёба/работа",,,
комментировать,7279,comment,V,B2,LM,3,комментирую,Imperf.Sing.1,"У меня есть блог, в котором я комментирую новости.",I have a blog where I comment on the news.,_,"общение, учёба/работа",,,
компенсировать,7280,recompence,V,B2,LM,1,компенсировать,Imperf.Inf,"Врачи рассказали, как компенсировать дефицит кальция.",The doctors explained how how one can compensate for calcium deficiency.,_,учёба/работа,,,
компенсировать,7281,recompence,V,B2,LM,2,компенсирует,Imperf.Sing.3,Компания компенсирует неиспользованный отпуск.,The company compensates employees for unused vacation time.,_,учёба/работа,,,
компенсировать,7282,recompence,A,B2,LM,3,компенсирующей,Imperf.PresentActiveParticiple.Ins.Fem.Sing,Группа компенсирующей направлённости ― это группы для детей с нарушениями здоровья.,There are special groups in kindergartens for children with health problems.,_,учёба/работа,,,
клей,7283,glue,N.Masc.Inan,B2,LM,1,клей,Nom.Sing,Клей продаётся в герметичной упаковке.,The glue is sold in sealed packaging.,_,"свободное время, учёба/работа",,,
клетка,7284,cell,N.Fem.Inan,B2,LM,1,клеток,Gen.Plur,Сеть нервных клеток пронизывает всё тело человека.,A network of neurons goes all through the human body.,_,"учёба/работа, здоровье",,,
клетка,7285,cell,N.Fem.Inan,B2,LM,2,клетки,Acc.Plur,Сейчас учёные больше знают о механизме возникновения раковой клетки.,Now scientists know more about the mechanism by which cancer cells develop.,_,"учёба/работа, здоровье",,,
клетка,7286,cell,N.Fem.Inan,B2,LM,3,клетку,Acc.Sing,Вода входит в клетку при помощи осмоса.,Water enters the cell by means of osmosis.,_,"учёба/работа, здоровье",,,
клиент,7287,client,N.Masc.Anim,B2,LM,1,клиентов,Gen.Plur,Михаил занимается обслуживанием клиентов банка.,Mikhail works in the customer service department of the bank.,_,учёба/работа,,,
клиент,7288,client,N.Masc.Anim,B2,LM,2,клиентам,Dat.Plur,Банк предлагает выгодные условия корпоративным клиентам.,The bank offers favorable conditions to corporate clients.,_,учёба/работа,,,
клиент,7289,client,N.Masc.Anim,B2,LM,3,клиентами,Ins.Plur,Отдел занимается работой с потенциальными клиентами.,The department deals with potential customers.,_,учёба/работа,,,
клубника,7290,strawberry,N.Fem.Inan,B2,"LM, Поехали",1,клубникой,Ins.Sing,Катя угостила меня тортом с клубникой.,Katya gave me a strawberry cake.,_,"еда, животные/растения",,,
клюква,7291,cranberry,N.Fem.Inan,B2,LM,1,клюква,Nom.Sing,Клюква растёт около болот.,Cranberries grow near swamps.,_,"еда, животные/растения",,,
код,7292,code,N.Masc.Inan,B2,"Golosa, LM",1,код,Nom.Sing,Исходный код программы может быть прочтён человеком.,The source code of the program can be read by people.,_,учёба/работа,,,
код,7293,code,N.Masc.Inan,B2,"Golosa, LM",2,кода,Gen.Sing,Сложные программы содержат миллионы строк кода.,Complex programs contain millions of lines of code.,_,учёба/работа,,,
код,7294,code,N.Masc.Inan,B2,"Golosa, LM",3,коды,Acc.Plur,Антропология позволяет изучать культурные коды.,Anthropology gives one the opportunity to study cultural patterns.,_,учёба/работа,,,
кожа,7295,skin,N.Fem.Inan,B2,LM,1,кожи,Gen.Sing,Марина купила сумку из крокодиловой кожи.,Marina bought a bag made of crocodile leather.,_,"здоровье, одежда",,,
кожа,7296,skin,N.Fem.Inan,B2,LM,2,кожу,Acc.Sing,Наряд подчёркивает её белую кожу.,The outfit accentuates her white skin.,_,"здоровье, одежда",,,
кожа,7297,skin,N.Fem.Inan,B2,LM,3,кожа,Nom.Sing,Хорошая кожа является признаком здоровья.,Good skin is a sign of good health.,_,"здоровье, одежда",,,
кожаный,7298,leather,A,B2,LM,1,кожаный,Nom.Masc.Sing,Кожаный плащ стоит дорого.,A leather coat is expensive.,_,"одежда, жильё",,,
кожаный,7299,leather,A,B2,LM,2,кожаное,Nom.Neut.Sing,В гостиной стояло кожаное кресло.,There was a leather armchair in the living room.,_,"одежда, жильё",,,
кожаный,7300,leather,A,B2,LM,3,кожаном,Loc.Neut.Sing,Михаил сидел в старом кожаном кресле и курил сигару.,Mikhail sat in an old leather chair and smoked a cigar.,_,"одежда, жильё",,,
колготки,7301,tights,N.Inan,B2,"Golosa, LM",1,колготки,Acc.Plur,Недавно я купила тёплые колготки.,I bought some warm tights recently.,_,одежда,,,
колено,7302,knee,N.Neut.Inan,B2,"Golosa, LM",1,колени,Acc.Plur,Маша посадила сына себе на колени.,Masha sat her son on her knees.,_,здоровье,,,
колено,7303,knee,N.Neut.Inan,B2,"Golosa, LM",2,коленях,Loc.Plur,"Я увидел мужчину, который молился на коленях.",I saw a man praying on his knees.,_,здоровье,,,
колено,7304,knee,N.Neut.Inan,B2,"Golosa, LM",3,колен,Gen.Plur,В комнату вошла девушка в платье до колен.,A girl in a knee-length dress entered the room.,_,здоровье,,,
колесо,7305,wheel,N.Neut.Inan,B2,LM,1,колёс,Gen.Plur,Раздался шум колёс.,I heard the sound of wheels.,_,транспорт,,,
колесо,7306,wheel,N.Neut.Inan,B2,LM,2,колёса,Nom.Plur,Колёса поезда громко стучали.,The wheels of the train were pounding loudly.,_,транспорт,,,
колесо,7307,wheel,N.Neut.Inan,B2,LM,3,колеса,Gen.Sing,Началось строительство нового колеса обозрения.,The construction of a new Ferris wheel has begun.,_,транспорт,,,
коллектив,7308,team,N.Masc.Inan,B2,LM,1,коллектив,Nom.Sing,Хороший коллектив помогает быстро освоиться на новой работе.,A good team helps you to adapt to a new job quickly.,_,"люди, общение, свободное время, учёба/работа",,,
коллектив,7309,team,N.Masc.Inan,B2,LM,2,коллективе,Loc.Sing,"Работая в дружном коллективе, люди меньше подвержены стрессам.","When working with a supportive team, people experience less stress.",_,"люди, общение, свободное время, учёба/работа",,,
коллектив,7310,team,N.Masc.Inan,B2,LM,3,коллектива,Gen.Sing,Меня назначили руководителем небольшого коллектива.,I was made the leader of a small team.,_,"люди, общение, свободное время, учёба/работа",,,
коллективный,7311,shared,A,B2,LM,1,коллективной,Gen.Fem.Sing,Существуют различные формы коллективной собственности.,There are various forms of collective ownership.,_,"люди, общение, свободное время, учёба/работа, описание",,,
коллективный,7312,shared,A,B2,LM,2,коллективного,Gen.Masc.Sing,Понятие коллективного разума появилось в конце прошлого века.,The concept of collective intelligence first appeared at the end of the previous century.,_,"люди, общение, свободное время, учёба/работа, описание",,,
коллективный,7313,shared,A,B2,LM,3,коллективных,Gen.Plur,В статье описаны особенности коллективных отношений.,The article describes the features of collaborative relations.,_,"люди, общение, свободное время, учёба/работа, описание",,,
коллекционер,7314,collector,N.Masc.Anim,B2,LM,1,коллекционеры,Nom.Plur,Известные коллекционеры обычно очень богаты.,Famous collectors are usually very rich people.,_,"люди, свободное время",,,
коллекционер,7315,collector,N.Masc.Anim,B2,LM,2,коллекционеров,Gen.Plur,Редкие картины можно купить у частных коллекционеров.,Rare paintings can be bought from private collectors.,_,"люди, свободное время",,,
коллекционер,7316,collector,N.Masc.Anim,B2,LM,3,коллекционерами,Ins.Plur,Михаил общается с известными коллекционерами.,Michael communicates with famous collectors.,_,"люди, свободное время",,,
коллекционирование,7317,collect,N.Neut.Inan,B2,LM,1,коллекционирования,Gen.Sing,В семнадцатом веке происходит распространение частного коллекционирования в Нидерландах.,"In the seventeenth century, private collecting began to spread in the Netherlands.",_,"люди, описание, свободное время",,,
коллекционирование,7318,collect,N.Neut.Inan,B2,LM,2,коллекционированием,Ins.Sing,Маша увлекается коллекционированием монет.,Masha collects coins.,_,"люди, описание, свободное время",,,
коллекционирование,7319,collect,N.Neut.Inan,B2,LM,3,коллекционированию,Dat.Sing,По коллекционированию издаются книги и каталоги.,There are published books and catalogs on collecting.,_,"люди, описание, свободное время",,,
контролировать,7320,control,V,B2,LM,1,контролировать,Imperf.Inf,Тайм-менеджемент позволяет человеку лучше контролировать время.,Time managements helps people to control their time better.,_,"описание, политика, учёба/работа",,,
контролировать,7321,control,V,B2,LM,2,контролирует,Imperf.Sing.3,Президент уже не контролирует ситуацию в стране.,The president no longer controls the situation in the country.,_,"описание, политика, учёба/работа",,,
контролировать,7322,control,A,B2,LM,3,контролирующие,Imperf.PresentActiveParticiple.Nom.Plur,Контролирующие органы проявили настойчивость в этом вопросе.,Controlling entities persevered.,_,"описание, политика, учёба/работа",,,
колокол,7323,bell,N.Masc.Inan,B2,LM,1,колоколов,Gen.Plur,С утра я услышал звон колоколов.,In the morning I heard the bells ringing.,_,свободное время,,,
колокол,7324,bell,N.Masc.Inan,B2,LM,2,колокола,Nom.Plur,Во время церковных праздников звонят колокола.,Bells ring on church holidays.,_,свободное время,,,
колокол,7325,bell,N.Masc.Inan,B2,LM,3,колокол,Acc.Sing,Монахи начали бить в колокол.,The monks began to clang the bell.,_,свободное время,,,
коляска,7326,carriage,N.Fem.Inan,B2,LM,1,коляску,Acc.Sing,"Петя сломал ногу, и в больнице его посадили в инвалидную коляску.","Petya broke his leg, and in the hospital doctors put him in a wheelchair.",_,"здоровье, транспорт",,,
коляска,7327,carriage,N.Fem.Inan,B2,LM,2,коляске,Loc.Sing,Маша везла ребёнка в коляске.,Masha drove the child in a pushchair.,_,"здоровье, транспорт",,,
коляска,7328,carriage,N.Fem.Inan,B2,LM,3,коляски,Gen.Sing,"Чтобы ребёнок не выпал из коляски, его нужно пристегнуть.","You should fasten your child, so as it doesn't fall out of the pushchair.",_,"здоровье, транспорт",,,
копить,7329,save,V,B2,LM,1,копить,Imperf.Inf,"Мы решили не брать ипотеку, а копить на квартиру.","We dediced not to take out a mortgage, but to save up an apartment.",_,"описание, свободное время, учёба/работа",,,
копить,7330,save,V,B2,LM,2,копили,Imperf.Plur.Past,"В прошлом году мы копили деньги на машину, поэтому не поехали на море.","Last year we saved up money for a car, that's why we didn't go to the sea.",_,"описание, свободное время, учёба/работа",,,
комар,7331,mosquito,N.Masc.Anim,B2,LM,1,комар,Nom.Sing,У тебя на руке сидит комар!,You have a mosquito on your hand!,_,"животные/растения, путешествие",,,
комар,7332,mosquito,N.Masc.Anim,B2,LM,2,комары,Nom.Plur,Комары обитают во влажной среде.,Mosquitoes live in a humid environment.,_,"животные/растения, путешествие",,,
комар,7333,mosquito,N.Masc.Anim,B2,LM,3,комаров,Gen.Plur,Я купила спрей от комаров.,I've bought bug spray.,_,"животные/растения, путешествие",,,
комиссия,7334,commitee,N.Fem.Inan,B2,LM,1,комиссии,Gen.Sing,Председатель комиссии выступил с докладом.,The commission chairman made a presentation.,_,учёба/работа,,,
комиссия,7335,commitee,N.Fem.Inan,B2,LM,2,комиссия,Nom.Sing,Комиссия по охране труда разберётся в этом вопросе.,The labour protection commission will hund this question down.,_,учёба/работа,,,
комиссия,7336,commitee,N.Fem.Inan,B2,LM,3,комиссию,Acc.Sing,Петров возглавил комиссию по подготовке программ и учебных планов.,Petrov headed the commission for the preparation of programs and education plans.,_,учёба/работа,,,
комитет,7337,commitee,N.Masc.Inan,B2,LM,1,комитета,Gen.Sing,Иван стал новым председателем комитета по образованию.,Ivan became the new chairman of the education committee.,_,учёба/работа,,,
комитет,7338,commitee,N.Masc.Inan,B2,LM,2,комитет,Nom.Sing,Следственный комитет возбудил уголовное дело.,The investigative deparment brought a criminal case.,_,учёба/работа,,,
комитет,7339,commitee,N.Masc.Inan,B2,LM,3,комитетов,Gen.Plur,Состоялась встреча председателей комитетов.,A meeting of the chairmen of the committees took place.,_,учёба/работа,,,
красить,7340,paint,V,B2,"MiP, LM",1,красит,Imperf.Sing.3,Катя всегда красит губы красной помадой.,Katya always puts on red lipstick.,_,"описание, свободное время, учёба/работа",,,
красить,7341,paint,A,B2,"MiP, LM",2,крашенных,Loc.Plur,"На стенах, крашенных синей краской, висели картины.",Paintings hung on the blue painted walls.,_,"описание, свободное время, учёба/работа",,,
красить,7342,paint,V,B2,"MiP, LM",3,крась,Imperf.Imper.Sing.2,"Не крась волосы в рыжий цвет. Мне кажется, тебе не пойдёт.",Don't dye your hair red. I don't think it suits you.,_,"описание, свободное время, учёба/работа",,,
коммерческий,7343,commercial,A,B2,"Golosa, LM",1,коммерческих,Gen.Plur,Правительство должно гарантировать равную защиту коммерческих предприятий перед законом.,Governments should ensure all businesses have equal protection before the law.,_,"описание, свободное время, учёба/работа, политика",,,
коммерческий,7344,commercial,A,B2,"Golosa, LM",2,коммерческие,Nom.Plur,Коммерческие компании обязаны индексировать заработную плату.,Commercial companies must index wages.,_,"описание, свободное время, учёба/работа, политика",,,
коммерческий,7345,commercial,A,B2,"Golosa, LM",3,коммерческий,Nom.Masc.Sing,Коммерческий успех компании напрямую зависит от техники продаж.,The company's commercial success is directly dependent on sales techniques.,_,"описание, свободное время, учёба/работа, политика",,,
коммунист,7346,communist,N.Masc.Anim,B2,LM,1,коммунистов,Gen.Plur,Главная задача коммунистов ― духовная и материальная революция.,The main task of the communists is a spiritual and material revolution.,_,"политика, люди",,,
коммунист,7347,communist,N.Masc.Anim,B2,LM,2,коммунисты,Nom.Plur,Коммунисты предложили сделать образование доступным для всех.,The communists proposed to make education free.,_,"политика, люди",,,
коммунист,7348,communist,N.Masc.Anim,B2,LM,3,коммунистам,Dat.Plur,Алексей не относит себя к коммунистам.,Alexey doesn't consider himself as a communist.,_,"политика, люди",,,
коммунистический,7349,communist,A,B2,LM,1,коммунистической,Gen.Fem.Sing,Особенность коммунистической идеологии состоит в её творческом характере.,A specific character of communist ideology is its creative character.,_,"политика, описание",,,
коммунистический,7350,communist,A,B2,LM,2,коммунистический,Nom.Masc.Sing,Коммунистический режим в Албании установился в 1944 году.,The communist regime in Albania was established in 1944.,_,"политика, описание",,,
коммунистический,7351,communist,A,B2,LM,3,коммунистического,Gen.Masc.Sing,"Я считаю, что идею коммунистического мира невозможно воплотить в жизнь.",I think that the idea of a communist world can't be realized.,_,"политика, описание",,,
компания,7352,company,N.Fem.Inan,B2,LM,1,компании,Gen.Sing,Прибыль компании в этом году увеличилась вдвое.,The company profit doubled this year.,_,"общение, учёба/работа, свободное время",,,
компания,7353,company,N.Fem.Inan,B2,LM,2,компаний,Gen.Plur,"""Газпром"" является крупнейшей из российских компаний.",Gazprom is the largest Russian company.,_,"общение, учёба/работа, свободное время",,,
компания,7354,company,N.Fem.Inan,B2,LM,3,компания,Nom.Sing,Страховая компания запустила новый сервис.,The insurance company has launched a new service.,_,"общение, учёба/работа, свободное время",,,
компенсация,7355,recompense,N.Fem.Inan,B2,LM,1,компенсации,Gen.Sing,Работники компании могут рассчитывать на получение денежной компенсации.,Company employees can receive financial recompense.,_,учёба/работа,,,
компенсация,7356,recompense,N.Fem.Inan,B2,LM,2,компенсация,Nom.Sing,Денежная компенсация была выплачена вовремя.,The financial recompense was paid on time.,_,учёба/работа,,,
компенсация,7357,recompense,N.Fem.Inan,B2,LM,3,компенсаций,Gen.Plur,Сумма компенсаций ограничена.,The amount of compensation is limited.,_,учёба/работа,,,
краснеть,7358,redden,V,B2,LM,1,краснеть,Imperf.Inf,"Сделай работу как следует, и тебе не придётся за неё краснеть.",Do the job properly and you won’t have to blush for it.,_,общение,,,
краснеть,7359,redden,V,B2,LM,2,краснела,Imperf.Fem.Sing.Past,"Раньше Маша всегда краснела, когда слышала комплименты в свой адрес.","Before now, Masha always blushed when she heard compliments addressed to her.",_,общение,,,
краснеть,7360,redden,V,B2,LM,3,краснел,Imperf.Masc.Sing.Past,В детстве Вася краснел от смущения.,"In his childhood, Vasya blushed with embarrassment.",_,общение,,,
комплекс,7361,complex,N.Masc.Inan,B2,"Golosa, LM",1,комплекса,Gen.Sing,Саша страдает от комплекса неполноценности.,Sasha suffers from inferiority complex.,_,"общение, магазин, внутренний мир",,,
комплекс,7362,complex,N.Masc.Inan,B2,"Golosa, LM",2,комплекс,Nom.Sing,Недавно около моего дома был построен развлекательный комплекс.,Recently an entertainment complex was built near my house.,_,"общение, магазин, внутренний мир",,,
комплекс,7363,complex,N.Masc.Inan,B2,"Golosa, LM",3,комплексе,Loc.Sing,В торговом комплексе можной найти фирменные магазины одежды.,In the mall you can find brand clothing shops.,_,"общение, магазин, внутренний мир",,,
комплимент,7364,compliment,N.Masc.Inan,B2,"Golosa, LM",1,комплименты,Acc.Plur,Её собеседник говорил ей комплименты.,Her companion told her compliments.,_,общение,,,
комплимент,7365,compliment,N.Masc.Inan,B2,"Golosa, LM",2,комплимент,Nom.Sing,Это был незабываемый комплимент!,It was an unforgettable compliment!,_,общение,,,
компот,7366,compote,N.Masc.Inan,B2,"MiP, LM",1,компота,Gen.Sing,Петя выпил два стакана компота.,Petya drank two glasses of compote.,_,еда,,,
компот,7367,compote,N.Masc.Inan,B2,"MiP, LM",2,компоты,Acc.Plur,Я люблю пить соки и компоты.,I love to drink juices and compotes.,_,еда,,,
компот,7368,compote,N.Masc.Inan,B2,"MiP, LM",3,компоту,Gen.Sing,Хотите компоту?,Do you want to drink some compote?,_,еда,,,
компресс,7369,compress,N.Masc.Inan,B2,LM,1,компресс,Nom.Sing,Спиртовой компресс поможет при переохлаждении.,An alcohol compress will help if you have hypothermia.,_,здоровье,,,
компресс,7370,compress,N.Masc.Inan,B2,LM,2,компрессом,Ins.Sing,Он остановил кровь из носа ледяным компрессом.,He stopped nose bleeding using an ice poultice.,_,здоровье,,,
компресс,7371,compress,N.Masc.Inan,B2,LM,3,компрессов,Gen.Plur,Для изготовления компрессов понадобятся бинты.,You need bandages to make compresses.,_,здоровье,,,
компромисс,7372,balancing act,N.Masc.Inan,B2,LM,1,компромисса,Gen.Sing,Нам удалось достичь компромисса.,We managed to reach a compromise.,_,"общение, политика, учёба/работа",,,
компромисс,7373,balancing act,N.Masc.Inan,B2,LM,2,компромиссы,Acc.Plur,Для начальника очень важно находить компромиссы.,It's very important for the boss to find compromises.,_,"общение, политика, учёба/работа",,,
компромисс,7374,balancing act,N.Masc.Inan,B2,LM,3,компромисс,Acc.Sing,Давай попробуем найти разумный компромисс.,Let's try to find agreed trade-off.,_,"общение, политика, учёба/работа",,,
комфортный,7375,comfortable,A,B2,LM,1,комфортно,Neut.Sing,В этой одежде я чувствую себя очень комфортно.,I feel very comfortable in these clothes.,_,"описание, жильё, общение",,,
комфортный,7376,comfortable,A,B2,LM,2,комфортнее,Comp,"Я купил новую кровать, поэтому спать стало комфортнее.","I bought a new bed, so now I sleep more comfortable.",_,"описание, жильё, общение",,,
комфортный,7377,comfortable,A,B2,LM,3,комфортными,Ins.Plur,"Комфортными условиями для жизни характеризуются города, находящиеся в европейской части России.",Cities located in the European part of Russia accomodate comfortable liveing conditions.,_,"описание, жильё, общение",,,
конгресс,7378,congress,N.Masc.Inan,B2,LM,1,конгресса,Gen.Sing,В состав американского Конгресса входят две палаты.,The US Congress consists of two houses.,_,"политика, учёба/работа",,,
конгресс,7379,congress,N.Masc.Inan,B2,LM,2,конгресс,Nom.Sing,Всемирный конгресс по философии проводится каждые пять лет.,The World Congress of Philosophy is held every 5 years.,_,"политика, учёба/работа",,,
конгресс,7380,congress,N.Masc.Inan,B2,LM,3,конгрессу,Dat.Sing,Президент обратился к конгрессу с ежегодным посланием.,The president addressed the congress with an annual message.,_,"политика, учёба/работа",,,
кондитерский,7381,confectionary,A,B2,LM,1,кондитерские,Nom.Plur,Кондитерские изделия содержат углеводы.,Confectionery products contain carbohydrates.,_,"еда, описание",,,
кондитерский,7382,confectionary,A,B2,LM,2,кондитерской,Ins.Fem.Sing,Директор кондитерской фабрики рассказал о технологиях работы.,The director of the confectionery factory spoke about work methods.,_,"еда, описание",,,
кондитерский,7383,confectionary,A,B2,LM,3,кондитерскими,Ins.Plur,Город славится своими кондитерскими изделиями.,The city of famous for its confectionery.,_,"еда, описание",,,
конкретный,7384,specific,A,B2,LM,1,конкретных,Gen.Plur,Суд вынес решение на основании конкретных фактов дела.,The court ruled on the specific facts of the case.,_,"описание, учёба/работа",,,
конкретный,7385,specific,A,B2,LM,2,конкретного,Gen.Masc.Sing,"Со сцены артист не видит конкретного человека, а только массу зрителей.","The artist doesn't see a specific person from the stage, but a  crowd of spectators.",_,"описание, учёба/работа",,,
конкретный,7386,specific,A,B2,LM,3,конкретные,Nom.Plur,Конкретные доказательства говорят больше слов.,Concrete evidence speaks more than words.,_,"описание, учёба/работа",,,
конкурент,7387,opponent,N.Masc.Anim,B2,LM,1,конкуренты,Nom.Plur,Конкуренты будут вытеснены с рынка.,Competitors will be driven out of the market.,_,"политика, учёба/работа",,,
конкурент,7388,opponent,N.Masc.Anim,B2,LM,2,конкурентов,Gen.Plur,Необходимо выявить основных конкурентов компании.,It's necessary to find out the main competitors of the company.,_,"политика, учёба/работа",,,
конкурент,7389,opponent,N.Masc.Anim,B2,LM,3,конкурентами,Ins.Plur,Основными конкурентами компании Apple являются Microsoft и Google.,The main competitors of Apple are Microsoft and Google.,_,"политика, учёба/работа",,,
конкуренция,7390,competition,N.Fem.Inan,B2,LM,1,конкуренция,Nom.Sing,Здоровая конкуренция помогает развитию бизнеса.,Healthy competition helps business development.,_,"политика, учёба/работа",,,
конкуренция,7391,competition,N.Fem.Inan,B2,LM,2,конкуренции,Gen.Sing,Ни о какой реальной конкуренции речи не идёт.,There is no question of any real competition.,_,"политика, учёба/работа",,,
конкуренция,7392,competition,N.Fem.Inan,B2,LM,3,конкуренцию,Acc.Sing,Необходимо сохранить конкуренцию на рынках.,It's very important to save competition in the markets.,_,"политика, учёба/работа",,,
консервативный,7393,conservative,A,B2,LM,1,консервативный,Nom.Masc.Sing,Он очень консервативный человек.,He's a very conservative person.,_,"описание, политика, внутренний мир",,,
консервативный,7394,conservative,A,B2,LM,2,консервативной,Ins.Fem.Sing,Основой консервативной идеологии является установка на сохранение традиционных ценностей.,The main idea of a conservative ideology is to preserve traditional values.,_,"описание, политика, внутренний мир",,,
консервативный,7395,conservative,A,B2,LM,3,консервативна,Fem.Sing,"Может, я слишком консервативна?",Maybe I'm too conservative?,_,"описание, политика, внутренний мир",,,
